,title,price,link,brand,processor
0,acer nitro 5 for sale cheap,300,https://charlottesville.craigslist.org/sys/d/ruckersville-acer-nitro-for-sale-cheap/7821952190.html,acer,intel
1,thermaltake h18 ryzen 7 2700x complete system,750,https://charlottesville.craigslist.org/sys/d/fredericksburg-thermaltake-h18-ryzen/7815591095.html,thermaltake,amd
2,antect 902 pc ryzen 7 1700x system,500,https://charlottesville.craigslist.org/sys/d/fredericksburg-antect-902-pc-ryzen/7815590431.html,antect,amd
3,custom darkrock a8-x pc ryzen 7 7700x tower only,1400,https://charlottesville.craigslist.org/sys/d/fredericksburg-custom-darkrock-a8-pc/7817673016.html,darkrock,amd
4,custom mustex g07 ryzen 9 7900x tower only,1600,https://charlottesville.craigslist.org/sys/d/fredericksburg-custom-mustex-g07-ryzen/7816887417.html,mustex,amd
5,macbook air 13” m3,500,https://charlottesville.craigslist.org/sys/d/charlottesville-macbook-air-13-m3/7819730898.html,apple,apple silicon
6,montech x3 mesh complete pc ryzen system,800,https://charlottesville.craigslist.org/sys/d/fredericksburg-montech-x3-mesh-complete/7813284284.html,montech,amd
7,alienware aurora r13 desktop (or trade),950,https://charlottesville.craigslist.org/sys/d/white-hall-alienware-aurora-r13-desktop/7819316885.html,alienware,intel
8,bequite! purebase 500 tower only,800,https://charlottesville.craigslist.org/sys/d/fredericksburg-bequite-purebase-500/7812498083.html,purebase,intel
9,macbook air,400,https://charlottesville.craigslist.org/sys/d/charlottesville-macbook-air/7820070603.html,apple,intel
10,"apple powerbook g4 titanium a1025 15.2"" 1ghz 1gb 60gb",250,https://charlottesville.craigslist.org/sys/d/waynesboro-apple-powerbook-g4-titanium/7819415047.html,apple,intel
11,bequite! purebase 500 tower only,800,https://charlottesville.craigslist.org/sys/d/fredericksburg-bequite-purebase-500/7819323129.html,purebase,intel
12,jonsbo c6 matx pc tower only,700,https://charlottesville.craigslist.org/sys/d/fredericksburg-jonsbo-c6-matx-pc-tower/7819320588.html,jonsbo,intel
13,coolmaster q300l ryzen 7 pc tower only,1000,https://charlottesville.craigslist.org/sys/d/fredericksburg-coolmaster-q300l-ryzen/7819320367.html,coolmaster,amd
14,"macbook pro 13"" 8gb 1tb 2016",350,https://charlottesville.craigslist.org/sys/d/charlottesville-macbook-pro-13-8gb-1tb/7818040598.html,apple,intel
15,"13"" apple macbook air 2014 1.7 i7 8gb ram 500gb ssd + big sur",120,https://charlottesville.craigslist.org/sys/d/charlottesville-13-apple-macbook-air-i7/7817990508.html,apple,intel
16,cougar pc tower only ryzen 9,900,https://charlottesville.craigslist.org/sys/d/fredericksburg-cougar-pc-tower-only/7812500715.html,cougar,amd
17,"dell inspiron 3647 desktop w/22"" monitor, keyboard, mouse",125,https://charlottesville.craigslist.org/sys/d/charlottesville-dell-inspiron-3647/7817235598.html,dell,intel
18,"17"" hp touchscreen laptop w/ac adapter recovery dvds",200,https://charlottesville.craigslist.org/sys/d/waynesboro-17-hp-touchscreen-laptop-ac/7817082339.html,hp,intel
19,samsung galaxy tab s8 ultra (wifi) sm-x900 wifi 256gb graphite,375,https://charlottesville.craigslist.org/sys/d/charlottesville-samsung-galaxy-tab-s8/7814718708.html,samsung,intel
20,intel i7 wifi gaming pc with mechanical keyboard and mouse,400,https://charlottesville.craigslist.org/sys/d/charlottesville-intel-i7-wifi-gaming-pc/7815160508.html,intel,intel
21,ryzen 7 2700x ga gaming tower,1100,https://charlottesville.craigslist.org/sys/d/fredericksburg-ryzen-ga-gaming-tower/7807243713.html,ryzen,amd
22,gateway za8 laptop w/ac adapter,20,https://charlottesville.craigslist.org/sys/d/waynesboro-gateway-za8-laptop-ac-adapter/7813724786.html,gateway,intel
23,acer aspire one netbook w/ac adapter,30,https://charlottesville.craigslist.org/sys/d/waynesboro-acer-aspire-one-netbook-ac/7812396395.html,acer,intel
24,"*two* dell 27"" curved gaming monitors",350,https://charlottesville.craigslist.org/sys/d/charlottesville-two-dell-27-curved/7811692832.html,dell,intel
25,"hp envy 20"" touchsmart all-in-one pc (intel core i3) (like new)",475,https://charlottesville.craigslist.org/sys/d/white-hall-hp-envy-20-touchsmart-all-in/7811459147.html,hp,intel
26,ryzen 7 3700x aresgame atx tower only,900,https://charlottesville.craigslist.org/sys/d/fredericksburg-ryzen-aresgame-atx-tower/7803010144.html,ryzen,amd
